Time_Seconds,EDA,Stress_Label
0.0,0.5008796,typical
0.010000333,0.5132547,typical
0.020000666,0.5104264,typical
0.030001,0.5118203,typical
0.040001333,0.52123046,typical
0.050001666,0.48150232,typical
0.060002,0.49385506,typical
0.07000233,0.49555206,typical
0.080002666,0.49013934,typical
0.090003,0.5206043,typical
0.10000333,0.48653767,typical
0.110003665,0.4886068,typical
0.120004,0.49765247,typical
0.13000433,0.49722028,typical
0.14000466,0.49719396,typical
0.150005,0.5059609,typical
0.16000533,0.4771571,typical
0.17000566,0.48479256,typical
0.180006,0.48057657,typical
0.19000633,0.50800955,typical
0.20000666,0.48672116,typical
0.210007,0.5029422,typical
0.22000733,0.50419366,typical
0.23000766,0.4997783,typical
0.240008,0.49426696,typical
0.25000834,0.5043404,typical
0.26000866,0.51821446,typical
0.27000898,0.49933413,typical
0.28000933,0.48297524,typical
0.29000968,0.49196377,typical
0.30001,0.5086144,typical
0.3100103,0.4999127,typical
0.32001066,0.4933272,typical
0.330011,0.47796693,typical
0.34001133,0.5023569,typical
0.35001165,0.50985456,typical
0.360012,0.5087338,typical
0.37001234,0.4949721,typical
0.38001266,0.5140692,typical
0.39001298,0.5011086,typical
0.40001333,0.50654286,typical
0.41001368,0.49087688,typical
0.420014,0.4895462,typical
0.4300143,0.5001548,typical
0.44001466,0.49303675,typical
0.450015,0.50176936,typical
0.46001533,0.5181623,typical
0.47001565,0.50937384,typical
0.480016,0.5075476,typical
0.49001634,0.49619135,typical
0.5000167,0.48138174,typical
0.510017,0.49477473,typical
0.5200173,0.49131086,typical
0.5300177,0.5019473,typical
0.54001796,0.4970905,typical
0.5500183,0.49917585,typical
0.56001866,0.5122901,typical
0.570019,0.50056523,typical
0.58001935,0.5006655,typical
0.59001964,0.49641508,typical
0.60002,0.48165902,typical
0.61002034,0.49712062,typical
0.6200206,0.49483553,typical
0.630021,0.5084826,typical
0.6400213,0.5091846,typical
0.6500217,0.51322603,typical
0.660022,0.5052697,typical
0.6700223,0.49024165,typical
0.68002266,0.49724835,typical
0.690023,0.49447963,typical
0.7000233,0.49866873,typical
0.71002364,0.5119094,typical
0.720024,0.4929381,typical
0.73002434,0.50459474,typical
0.7400247,0.514646,typical
0.750025,0.50257176,typical
0.7600253,0.49367696,typical
0.7700257,0.49128404,typical
0.78002596,0.50152296,typical
0.7900263,0.50737935,typical
0.80002666,0.50495887,typical
0.810027,0.49541438,typical
0.82002735,0.5061474,typical
0.83002764,0.49933425,typical
0.840028,0.51697165,typical
0.85002834,0.49337345,typical
0.8600286,0.49492323,typical
0.870029,0.5169761,typical
0.8800293,0.50485677,typical
0.89002967,0.4807725,typical
0.90003,0.50118774,typical
0.9100303,0.49685308,typical
0.92003065,0.50117785,typical
0.930031,0.49845138,typical
0.9400313,0.51094335,typical
0.95003164,0.5124378,typical
0.960032,0.5050234,typical
0.97003233,0.50754803,typical
0.9800327,0.51134294,typical
0.990033,0.50584555,typical
1.0000334,0.49989504,typical
1.0100336,0.5000831,typical
1.020034,0.51564884,typical
1.0300343,0.4997838,typical
1.0400347,0.5022539,typical
1.050035,0.5078131,typical
1.0600353,0.5199784,typical
1.0700357,0.494417,typical
1.0800359,0.49895072,typical
1.0900363,0.50126225,typical
