Time_Seconds,Accel_X,Accel_Y,Accel_Z,Stress_Label
0.0,0.0232988,0.018735146,1.013629,typical
0.010000333,-0.015929954,0.017086053,0.9894034,typical
0.020000666,-0.003233788,0.00995613,1.0032293,typical
0.030001,0.008817272,-0.024810405,0.98498386,typical
0.040001333,-0.006758833,0.015480225,1.0070816,typical
0.050001666,0.0116504375,0.009850268,0.9935357,typical
0.060002,0.008545501,0.011387471,1.0008918,typical
0.07000233,0.0023412064,0.002826165,1.0069524,typical
0.080002666,0.008826356,0.006432413,1.0235626,typical
0.090003,0.0036710948,-0.002123617,1.0048163,typical
0.10000333,0.012416977,0.012943093,0.99790126,typical
0.110003665,0.018549353,-0.007821434,1.0037057,typical
0.120004,0.007536304,0.01361537,1.0064485,typical
0.13000433,-0.00817167,0.013403756,1.0190678,typical
0.14000466,-0.0032320274,-0.013525998,1.0129234,typical
0.150005,0.016925089,0.0019194204,1.0117394,typical
0.16000533,0.018975336,-0.00086978776,0.9934525,typical
0.17000566,0.0017283994,-0.0065410715,1.007209,typical
0.180006,-0.0003687078,0.005855288,0.99975765,typical
0.19000633,0.02347002,0.0002242378,0.98874867,typical
0.20000666,0.014760295,0.0040158727,1.0019758,typical
0.210007,0.0007930079,-0.009247353,0.9974102,typical
0.22000733,-0.007991945,0.0038449704,1.0080068,typical
0.23000766,0.00082066655,0.0010326705,1.0092993,typical
0.240008,-0.0008749305,0.023625523,1.0071573,typical
0.25000834,0.016308581,-0.0068229395,0.9938713,typical
0.26000866,0.006670217,0.007811914,1.0024719,typical
0.27000898,-0.00024108682,0.007324455,1.0039891,typical
0.28000933,0.012368623,-0.0013354584,0.99408835,typical
0.29000968,-0.0047430275,0.028355768,0.98180646,typical
0.30001,0.0032947129,-0.0009716614,1.0007131,typical
0.3100103,-0.0010605985,0.002151092,0.99749243,typical
0.32001066,0.0038932846,-0.0009543174,1.0020409,typical
0.330011,-0.0076178084,0.009224147,1.0006739,typical
0.34001133,0.0035919982,-0.008402254,1.0158676,typical
0.35001165,0.005882516,-0.013964312,1.0021178,typical
0.360012,-0.0017230147,0.02066941,0.9964064,typical
0.37001234,0.012138246,0.0006736056,0.9870577,typical
0.38001266,-0.0010982151,-0.006283228,0.9974726,typical
0.39001298,0.021637661,0.004435882,0.98977894,typical
0.40001333,0.00392905,0.0072090947,1.0052181,typical
0.41001368,-0.011389644,-0.006902764,1.0211225,typical
0.420014,0.008133999,0.01867351,1.010996,typical
0.4300143,-0.0058824057,-0.002729198,1.0127566,typical
0.44001466,0.0041025886,0.012616089,0.9994022,typical
0.450015,0.0013472058,-0.01882953,0.9892666,typical
0.46001533,-0.010051088,0.0047914204,1.0085709,typical
0.47001565,0.004700283,-0.010088893,1.0157013,typical
0.480016,0.006026094,-0.012368969,0.99684215,typical
0.49001634,6.2435865e-06,-0.021447714,1.0069256,typical
0.5000167,0.009072808,-0.005345432,0.9956828,typical
0.510017,0.0045480058,0.0009647764,1.0105759,typical
0.5200173,-0.0139662195,0.011975941,0.9953204,typical
0.5300177,0.009419137,-0.007404115,0.9886365,typical
0.54001796,-0.009964151,0.013810368,1.0154171,typical
0.5500183,0.015327331,0.002389263,1.0096846,typical
0.56001866,-0.008762795,0.008434259,1.0067502,typical
0.570019,0.0038738432,0.00040445104,1.0045141,typical
0.58001935,-0.0069768336,0.0015294305,1.0026236,typical
0.59001964,-0.02237864,0.0075684953,0.9949758,typical
0.60002,0.014367778,0.0076870844,0.9953942,typical
0.61002034,0.017162837,0.0067784,0.99983305,typical
0.6200206,-0.0003807703,0.011449764,0.987788,typical
0.630021,0.016837422,-0.0005963538,0.99584705,typical
0.6400213,0.013676972,-0.007172751,0.98960036,typical
0.6500217,0.0062994193,0.018326592,0.9930965,typical
0.660022,0.0119073,0.0051398044,1.0001047,typical
0.6700223,0.0014662025,0.0030271315,1.0147583,typical
0.68002266,0.013167123,-0.0061432202,1.0020493,typical
0.690023,-0.0012641693,0.014013575,1.0017351,typical
0.7000233,0.0077716475,0.0076870187,1.0044581,typical
0.71002364,0.00959957,-0.01535187,1.0021334,typical
0.720024,0.006953843,0.019195367,1.0038645,typical
0.73002434,0.006038699,0.00575953,1.0040812,typical
0.7400247,0.0073368005,0.0027032378,1.0092735,typical
0.750025,0.0019223122,-0.0010483647,1.0115007,typical
0.7600253,-0.0019492875,0.026588524,1.0016962,typical
0.7700257,0.0041710655,0.011885555,1.0085179,typical
