Time_Seconds,Skin_Temperature,Stress_Label
0.0,34.239567,typical
0.010000333,34.3005,typical
0.020000666,34.336624,typical
0.030001,34.24712,typical
0.040001333,34.370388,typical
0.050001666,34.214005,typical
0.060002,34.31339,typical
0.07000233,34.278053,typical
0.080002666,34.29667,typical
0.090003,34.316383,typical
0.10000333,34.31687,typical
0.110003665,34.331497,typical
0.120004,34.339165,typical
0.13000433,34.27001,typical
0.14000466,34.265556,typical
0.150005,34.367325,typical
0.16000533,34.37286,typical
0.17000566,34.279106,typical
0.180006,34.292427,typical
0.19000633,34.34463,typical
0.20000666,34.32814,typical
0.210007,34.31333,typical
0.22000733,34.33759,typical
0.23000766,34.305367,typical
0.240008,34.320885,typical
0.25000834,34.352646,typical
0.26000866,34.3139,typical
0.27000898,34.331924,typical
0.28000933,34.33424,typical
0.29000968,34.302494,typical
0.30001,34.33888,typical
0.3100103,34.317173,typical
0.32001066,34.3017,typical
0.330011,34.338036,typical
0.34001133,34.32413,typical
0.35001165,34.32123,typical
0.360012,34.32865,typical
0.37001234,34.319454,typical
0.38001266,34.32872,typical
0.39001298,34.3616,typical
0.40001333,34.299538,typical
0.41001368,34.33916,typical
0.420014,34.347256,typical
0.4300143,34.377037,typical
0.44001466,34.327374,typical
0.450015,34.32881,typical
0.46001533,34.343674,typical
0.47001565,34.355843,typical
0.480016,34.34022,typical
0.49001634,34.35978,typical
0.5000167,34.404385,typical
0.510017,34.35641,typical
0.5200173,34.33828,typical
0.5300177,34.31798,typical
0.54001796,34.35665,typical
0.5500183,34.35871,typical
0.56001866,34.385124,typical
0.570019,34.376022,typical
0.58001935,34.36627,typical
0.59001964,34.37754,typical
0.60002,34.366623,typical
0.61002034,34.396515,typical
0.6200206,34.379295,typical
0.630021,34.423813,typical
0.6400213,34.438766,typical
0.6500217,34.3581,typical
0.660022,34.344566,typical
0.6700223,34.281677,typical
0.68002266,34.34401,typical
0.690023,34.373314,typical
0.7000233,34.379425,typical
0.71002364,34.38528,typical
0.720024,34.406715,typical
0.73002434,34.394764,typical
0.7400247,34.40734,typical
0.750025,34.357983,typical
0.7600253,34.376247,typical
0.7700257,34.37949,typical
0.78002596,34.371887,typical
0.7900263,34.39688,typical
0.80002666,34.37431,typical
0.810027,34.408257,typical
0.82002735,34.359646,typical
0.83002764,34.412632,typical
0.840028,34.387684,typical
0.85002834,34.362556,typical
0.8600286,34.404705,typical
0.870029,34.378906,typical
0.8800293,34.33019,typical
0.89002967,34.3894,typical
0.90003,34.411606,typical
0.9100303,34.399498,typical
0.92003065,34.36745,typical
0.930031,34.388016,typical
0.9400313,34.41226,typical
0.95003164,34.348618,typical
0.960032,34.410473,typical
0.97003233,34.38292,typical
0.9800327,34.406544,typical
0.990033,34.378597,typical
1.0000334,34.428345,typical
1.0100336,34.40272,typical
1.020034,34.42361,typical
1.0300343,34.409885,typical
1.0400347,34.378345,typical
1.050035,34.420784,typical
1.0600353,34.448235,typical
1.0700357,34.400566,typical
1.0800359,34.404602,typical
1.0900363,34.420425,typical
1.1000366,34.45478,typical
1.110037,34.381912,typical
1.1200373,34.44136,typical
1.1300377,34.407166,typical
1.140038,34.403008,typical
1.1500384,34.41071,typical
1.1600387,34.400265,typical
1.1700389,34.386986,typical
1.1800393,34.458538,typical
1.1900396,34.40741,typical
1.20004,34.36821,typical
1.2100403,34.480495,typical
1.2200407,34.410072,typical
1.230041,34.43582,typical
