Time_Seconds,ECG,EDA,Skin_Temperature,SpO2,BVP,Accel_X,Accel_Y,Accel_Z,Stress_Label
0.0,0.12705684,0.5008796,34.239567,98.4432,-0.041771155,0.0232988,0.018735146,1.013629,typical
0.010000333,0.1897775,0.5132547,34.3005,98.530014,0.07153125,-0.015929954,0.017086053,0.9894034,typical
0.020000666,0.08624558,0.5104264,34.336624,98.569626,0.13888536,-0.003233788,0.00995613,1.0032293,typical
0.030001,0.23258755,0.5118203,34.24712,98.47289,0.19031079,0.008817272,-0.024810405,0.98498386,typical
0.040001333,0.24555299,0.52123046,34.370388,98.50703,0.2738478,-0.006758833,0.015480225,1.0070816,typical
0.050001666,0.17280002,0.48150232,34.214005,98.37551,0.3831904,0.0116504375,0.009850268,0.9935357,typical
0.060002,0.35966325,0.49385506,34.31339,98.46846,0.43785706,0.008545501,0.011387471,1.0008918,typical
0.07000233,0.46557474,0.49555206,34.278053,98.45732,0.49330223,0.0023412064,0.002826165,1.0069524,typical
0.080002666,0.47902477,0.49013934,34.29667,98.52684,0.53305626,0.008826356,0.006432413,1.0235626,typical
0.090003,0.53240037,0.5206043,34.316383,98.628914,0.5965617,0.0036710948,-0.002123617,1.0048163,typical
0.10000333,0.6507664,0.48653767,34.31687,98.397095,0.56808573,0.012416977,0.012943093,0.99790126,typical
0.110003665,0.44853455,0.4886068,34.331497,98.501305,0.63997126,0.018549353,-0.007821434,1.0037057,typical
0.120004,0.35833684,0.49765247,34.339165,98.3444,0.7305457,0.007536304,0.01361537,1.0064485,typical
0.13000433,0.28637314,0.49722028,34.27001,98.40832,0.7788487,-0.00817167,0.013403756,1.0190678,typical
0.14000466,0.23618585,0.49719396,34.265556,98.41222,0.8087032,-0.0032320274,-0.013525998,1.0129234,typical
0.150005,0.22466847,0.5059609,34.367325,98.56653,0.8614416,0.016925089,0.0019194204,1.0117394,typical
0.16000533,0.23460329,0.4771571,34.37286,98.52648,0.9090182,0.018975336,-0.00086978776,0.9934525,typical
0.17000566,0.20477746,0.48479256,34.279106,98.472694,0.94370335,0.0017283994,-0.0065410715,1.007209,typical
0.180006,0.2555833,0.48057657,34.292427,98.60557,0.95676327,-0.0003687078,0.005855288,0.99975765,typical
0.19000633,0.2975898,0.50800955,34.34463,98.51062,0.9071101,0.02347002,0.0002242378,0.98874867,typical
0.20000666,0.17682365,0.48672116,34.32814,98.45288,0.9632831,0.014760295,0.0040158727,1.0019758,typical
0.210007,0.28104094,0.5029422,34.31333,98.39675,0.96603674,0.0007930079,-0.009247353,0.9974102,typical
0.22000733,0.30680642,0.50419366,34.33759,98.36161,0.99366677,-0.007991945,0.0038449704,1.0080068,typical
0.23000766,0.19901629,0.4997783,34.305367,98.67543,0.9729527,0.00082066655,0.0010326705,1.0092993,typical
0.240008,0.14909706,0.49426696,34.320885,98.561264,0.9505198,-0.0008749305,0.023625523,1.0071573,typical
0.25000834,0.1268079,0.5043404,34.352646,98.55678,0.9446332,0.016308581,-0.0068229395,0.9938713,typical
0.26000866,0.1720168,0.51821446,34.3139,98.54561,0.9376132,0.006670217,0.007811914,1.0024719,typical
0.27000898,0.16015828,0.49933413,34.331924,98.43717,0.9488262,-0.00024108682,0.007324455,1.0039891,typical
0.28000933,0.21125737,0.48297524,34.33424,98.33505,0.92562556,0.012368623,-0.0013354584,0.99408835,typical
0.29000968,0.35768414,0.49196377,34.302494,98.438126,0.9518431,-0.0047430275,0.028355768,0.98180646,typical
0.30001,0.19516768,0.5086144,34.33888,98.25307,0.89378417,0.0032947129,-0.0009716614,1.0007131,typical
0.3100103,0.27759886,0.4999127,34.317173,98.52581,0.9104496,-0.0010605985,0.002151092,0.99749243,typical
0.32001066,0.19807026,0.4933272,34.3017,98.159966,0.8725945,0.0038932846,-0.0009543174,1.0020409,typical
0.330011,0.268226,0.47796693,34.338036,97.73829,0.7993319,-0.0076178084,0.009224147,1.0006739,typical
0.34001133,0.19686425,0.5023569,34.32413,97.43758,0.7286219,0.0035919982,-0.008402254,1.0158676,typical
0.35001165,0.16243371,0.50985456,34.32123,97.533035,0.7006314,0.005882516,-0.013964312,1.0021178,typical
0.360012,0.17476329,0.5087338,34.32865,97.713615,0.6960486,-0.0017230147,0.02066941,0.9964064,typical
0.37001234,0.14199804,0.4949721,34.319454,98.059395,0.60025257,0.012138246,0.0006736056,0.9870577,typical
0.38001266,0.16482392,0.5140692,34.32872,98.53961,0.5115899,-0.0010982151,-0.006283228,0.9974726,typical
0.39001298,0.2267297,0.5011086,34.3616,98.66424,0.5376367,0.021637661,0.004435882,0.98977894,typical
0.40001333,0.16413921,0.50654286,34.299538,98.537766,0.44907388,0.00392905,0.0072090947,1.0052181,typical
0.41001368,0.26573122,0.49087688,34.33916,98.536125,0.40816563,-0.011389644,-0.006902764,1.0211225,typical
0.420014,0.17882061,0.4895462,34.347256,98.45231,0.34898522,0.008133999,0.01867351,1.010996,typical
0.4300143,0.19926096,0.5001548,34.377037,98.6078,0.23476176,-0.0058824057,-0.002729198,1.0127566,typical
0.44001466,0.1689594,0.49303675,34.327374,98.626564,0.16845436,0.0041025886,0.012616089,0.9994022,typical
0.450015,0.25073278,0.50176936,34.32881,98.47966,0.13032663,0.0013472058,-0.01882953,0.9892666,typical
0.46001533,0.29692024,0.5181623,34.343674,98.41138,0.094161615,-0.010051088,0.0047914204,1.0085709,typical
0.47001565,0.0762134,0.50937384,34.355843,98.52781,-0.0023352262,0.004700283,-0.010088893,1.0157013,typical
0.480016,0.17736398,0.5075476,34.34022,98.360794,-0.04952094,0.006026094,-0.012368969,0.99684215,typical
0.49001634,0.1747219,0.49619135,34.35978,98.54185,-0.13413824,6.2435865e-06,-0.021447714,1.0069256,typical
0.5000167,0.09947259,0.48138174,34.404385,98.54883,-0.13486768,0.009072808,-0.005345432,0.9956828,typical
0.510017,0.17893583,0.49477473,34.35641,98.495605,-0.25571612,0.0045480058,0.0009647764,1.0105759,typical
0.5200173,0.20772141,0.49131086,34.33828,98.50915,-0.3191835,-0.0139662195,0.011975941,0.9953204,typical
0.5300177,0.20472382,0.5019473,34.31798,98.48429,-0.41035223,0.009419137,-0.007404115,0.9886365,typical
0.54001796,0.18763399,0.4970905,34.35665,98.533134,-0.42730707,-0.009964151,0.013810368,1.0154171,typical
0.5500183,0.18703535,0.49917585,34.35871,98.46822,-0.51475674,0.015327331,0.002389263,1.0096846,typical
0.56001866,0.24403508,0.5122901,34.385124,98.511765,-0.5709239,-0.008762795,0.008434259,1.0067502,typical
0.570019,0.2430986,0.50056523,34.376022,98.345345,-0.63226646,0.0038738432,0.00040445104,1.0045141,typical
0.58001935,0.2201212,0.5006655,34.36627,98.45342,-0.7149257,-0.0069768336,0.0015294305,1.0026236,typical
0.59001964,0.14535485,0.49641508,34.37754,98.538345,-0.70805633,-0.02237864,0.0075684953,0.9949758,typical
0.60002,0.16073908,0.48165902,34.366623,98.52174,-0.6866175,0.014367778,0.0076870844,0.9953942,typical
0.61002034,0.21546897,0.49712062,34.396515,98.4857,-0.77890134,0.017162837,0.0067784,0.99983305,typical
0.6200206,0.15798298,0.49483553,34.379295,98.4757,-0.83306056,-0.0003807703,0.011449764,0.987788,typical
0.630021,0.14880154,0.5084826,34.423813,98.73789,-0.8985854,0.016837422,-0.0005963538,0.99584705,typical
0.6400213,0.099426314,0.5091846,34.438766,98.50499,-0.855255,0.013676972,-0.007172751,0.98960036,typical
0.6500217,0.15281972,0.51322603,34.3581,98.56594,-0.9141637,0.0062994193,0.018326592,0.9930965,typical
0.660022,0.16367082,0.5052697,34.344566,98.47163,-0.9633756,0.0119073,0.0051398044,1.0001047,typical
0.6700223,0.22982979,0.49024165,34.281677,98.468315,-0.969153,0.0014662025,0.0030271315,1.0147583,typical
0.68002266,0.30786413,0.49724835,34.34401,98.37515,-0.97689646,0.013167123,-0.0061432202,1.0020493,typical
0.690023,0.337447,0.49447963,34.373314,98.402176,-0.98432904,-0.0012641693,0.014013575,1.0017351,typical
0.7000233,0.21928827,0.49866873,34.379425,98.409546,-0.9999682,0.0077716475,0.0076870187,1.0044581,typical
0.71002364,0.23208475,0.5119094,34.38528,98.55538,-0.9882321,0.00959957,-0.01535187,1.0021334,typical
0.720024,0.19903247,0.4929381,34.406715,98.48436,-0.9854603,0.006953843,0.019195367,1.0038645,typical
0.73002434,0.21045527,0.50459474,34.394764,98.669304,-1.0043203,0.006038699,0.00575953,1.0040812,typical
0.7400247,0.15474904,0.514646,34.40734,98.47766,-0.9580376,0.0073368005,0.0027032378,1.0092735,typical
0.750025,0.086965345,0.50257176,34.357983,98.591484,-0.97765714,0.0019223122,-0.0010483647,1.0115007,typical
0.7600253,0.22364765,0.49367696,34.376247,98.407776,-0.95189,-0.0019492875,0.026588524,1.0016962,typical
0.7700257,0.15558404,0.49128404,34.37949,98.67281,-0.86504227,0.0041710655,0.011885555,1.0085179,typical
0.78002596,0.17144871,0.50152296,34.371887,98.357544,-0.92032504,0.0016315011,0.0029912558,1.0090814,typical
0.7900263,0.17454602,0.50737935,34.39688,98.618835,-0.85496265,0.031010147,0.03133328,1.0211157,typical
0.80002666,0.17365737,0.50495887,34.37431,98.3913,-0.8290106,0.0021838972,0.008646616,1.0054153,typical
0.810027,0.11769631,0.49541438,34.408257,98.309875,-0.8010363,-0.0036256923,0.007277455,1.0096579,typical
0.82002735,0.121207826,0.5061474,34.359646,98.39196,-0.79478604,0.0038176007,0.010853991,1.0122528,typical
0.83002764,0.25341645,0.49933425,34.412632,98.47678,-0.7121285,0.02873531,-0.00048299087,1.0059291,typical
0.840028,0.20005889,0.51697165,34.387684,98.586296,-0.6514799,0.017180895,0.005793079,1.0254918,typical
0.85002834,0.18188031,0.49337345,34.362556,98.48918,-0.6382147,0.0053833793,0.0048467945,1.0238607,typical
0.8600286,0.22009127,0.49492323,34.404705,98.372,-0.53707945,-0.0038709366,0.0057683904,1.0071697,typical
0.870029,0.24349916,0.5169761,34.378906,98.4219,-0.50127506,0.014991362,-0.0021425486,0.99656767,typical
0.8800293,0.2193345,0.50485677,34.33019,98.55151,-0.3845256,-0.0005908641,-0.0068320655,0.9946158,typical
0.89002967,0.16088295,0.4807725,34.3894,98.404526,-0.337435,0.000304576,0.025314683,1.0064824,typical
0.90003,0.20229508,0.50118774,34.411606,98.529434,-0.34301206,0.006596649,0.0004545655,1.0000602,typical
0.9100303,0.18421341,0.49685308,34.399498,98.23204,-0.2748653,0.009717013,0.029708423,1.0085986,typical
0.92003065,0.18231505,0.50117785,34.36745,98.51291,-0.20201701,0.010414999,0.01588199,1.0348579,typical
0.930031,0.29007494,0.49845138,34.388016,98.4467,-0.14187473,-0.0058720247,0.01916153,1.0124284,typical
